,Dominant Doc Count,Average Share
Topic 4,6302,0.111135006
Topic 2,5389,0.10208719
Topic 0,4468,0.08076953
Topic 3,3833,0.08135726
Topic 1,3803,0.08043729
Topic 9,3734,0.08085868
Topic 8,3446,0.073460914
Topic 11,3407,0.07565272
Topic 6,3252,0.069728404
Topic 12,2908,0.064968176
Topic 5,2771,0.06392069
Topic 10,2290,0.0574565
Topic 7,2234,0.058167636
