Model_Num_Topics,Topic_Index,Topic_Terms
10,1,"0.072*""app"" + 0.069*""bank"" + 0.028*""use"" + 0.023*""banking"" + 0.020*""get"" + 0.017*""well"" + 0.016*""work"" + 0.013*""account"""
10,2,"0.072*""work"" + 0.041*""app"" + 0.031*""time"" + 0.031*""check"" + 0.029*""password"" + 0.026*""account"" + 0.023*""deposit"" + 0.020*""log"""
10,3,"0.052*""bank"" + 0.044*""account"" + 0.026*""get"" + 0.026*""bad"" + 0.023*""good"" + 0.021*""money"" + 0.014*""call"" + 0.013*""customer_service"""
10,4,"0.087*""app"" + 0.047*""log"" + 0.034*""try"" + 0.024*""get"" + 0.023*""sign"" + 0.022*""work"" + 0.021*""use"" + 0.019*""time"""
10,5,"0.053*""app"" + 0.029*""great"" + 0.022*""service"" + 0.021*""work"" + 0.021*""login"" + 0.014*""security"" + 0.010*""unavailable"" + 0.010*""time"""
10,6,"0.105*""app"" + 0.057*""open"" + 0.028*""phone"" + 0.027*""account"" + 0.023*""suck"" + 0.016*""get"" + 0.015*""want"" + 0.013*""download"""
10,7,"0.040*""use"" + 0.037*""zelle"" + 0.031*""send"" + 0.030*""easy"" + 0.025*""app"" + 0.016*""terrible"" + 0.016*""money"" + 0.015*""get"""
10,8,"0.049*""pay"" + 0.044*""payment"" + 0.044*""card"" + 0.026*""credit_card"" + 0.020*""take"" + 0.019*""get"" + 0.016*""charge"" + 0.016*""day"""
10,9,"0.116*""update"" + 0.099*""app"" + 0.048*""phone"" + 0.034*""use"" + 0.028*""new"" + 0.023*""work"" + 0.016*""say"" + 0.013*""need"""
11,0,"0.075*""app"" + 0.023*""balance"" + 0.023*""transaction"" + 0.019*""need"" + 0.018*""see"" + 0.017*""use"" + 0.017*""feature"" + 0.017*""like"""
11,1,"0.085*""app"" + 0.083*""phone"" + 0.037*""use"" + 0.027*""bank"" + 0.026*""work"" + 0.023*""new"" + 0.019*""old"" + 0.016*""check"""
11,2,"0.066*""work"" + 0.045*""app"" + 0.039*""time"" + 0.037*""account"" + 0.031*""password"" + 0.028*""log"" + 0.019*""never"" + 0.016*""get"""
11,3,"0.071*""bank"" + 0.045*""account"" + 0.031*""bad"" + 0.023*""money"" + 0.022*""get"" + 0.014*""ever"" + 0.013*""close"" + 0.013*""customer_service"""
11,4,"0.087*""app"" + 0.045*""log"" + 0.032*""try"" + 0.025*""sign"" + 0.025*""get"" + 0.024*""use"" + 0.020*""login"" + 0.018*""work"""
11,5,"0.063*""app"" + 0.034*""work"" + 0.030*""issue"" + 0.028*""fix"" + 0.025*""great"" + 0.023*""problem"" + 0.017*""service"" + 0.013*""time"""
11,6,"0.106*""app"" + 0.069*""good"" + 0.052*""open"" + 0.031*""suck"" + 0.020*""account"" + 0.016*""want"" + 0.015*""get"" + 0.011*""banking"""
11,7,"0.043*""zelle"" + 0.035*""send"" + 0.025*""terrible"" + 0.022*""app"" + 0.021*""use"" + 0.019*""get"" + 0.018*""money"" + 0.015*""call"""
11,8,"0.051*""payment"" + 0.042*""pay"" + 0.025*""credit_card"" + 0.023*""take"" + 0.022*""use"" + 0.020*""make"" + 0.019*""card"" + 0.017*""get"""
11,9,"0.148*""update"" + 0.097*""app"" + 0.026*""use"" + 0.017*""new"" + 0.016*""work"" + 0.013*""still"" + 0.013*""need"" + 0.011*""say"""
11,10,"0.052*""card"" + 0.026*""get"" + 0.017*""account"" + 0.014*""well"" + 0.014*""much"" + 0.014*""use"" + 0.013*""bank"" + 0.013*""pay"""
12,0,"0.067*""app"" + 0.036*""balance"" + 0.034*""transaction"" + 0.026*""see"" + 0.024*""show"" + 0.015*""need"" + 0.015*""feature"" + 0.015*""often"""
12,1,"0.095*""app"" + 0.087*""phone"" + 0.043*""use"" + 0.031*""bank"" + 0.027*""work"" + 0.025*""new"" + 0.021*""old"" + 0.019*""year"""
12,2,"0.081*""work"" + 0.051*""app"" + 0.035*""password"" + 0.032*""time"" + 0.030*""log"" + 0.020*""always"" + 0.016*""never"" + 0.015*""get"""
12,3,"0.077*""bank"" + 0.045*""bad"" + 0.041*""good"" + 0.022*""money"" + 0.021*""ever"" + 0.018*""get"" + 0.016*""account"" + 0.012*""customer_service"""
12,4,"0.091*""app"" + 0.053*""log"" + 0.037*""try"" + 0.024*""get"" + 0.021*""issue"" + 0.021*""login"" + 0.021*""use"" + 0.020*""load"""
12,5,"0.062*""app"" + 0.032*""great"" + 0.026*""work"" + 0.024*""fix"" + 0.021*""service"" + 0.017*""problem"" + 0.015*""issue"" + 0.012*""android"""
12,6,"0.130*""app"" + 0.060*""open"" + 0.028*""suck"" + 0.022*""sign"" + 0.018*""get"" + 0.017*""work"" + 0.016*""even"" + 0.016*""let"""
12,7,"0.048*""zelle"" + 0.043*""send"" + 0.025*""terrible"" + 0.020*""app"" + 0.019*""money"" + 0.018*""get"" + 0.018*""call"" + 0.015*""number"""
12,8,"0.046*""use"" + 0.044*""easy"" + 0.034*""make"" + 0.027*""app"" + 0.025*""like"" + 0.024*""take"" + 0.022*""payment"" + 0.021*""find"""
12,9,"0.167*""update"" + 0.093*""app"" + 0.027*""use"" + 0.018*""new"" + 0.017*""need"" + 0.011*""work"" + 0.010*""since"" + 0.010*""still"""
12,10,"0.054*""card"" + 0.047*""pay"" + 0.027*""payment"" + 0.025*""get"" + 0.021*""credit_card"" + 0.019*""charge"" + 0.018*""credit"" + 0.017*""fee"""
12,11,"0.129*""account"" + 0.033*""deposit"" + 0.032*""check"" + 0.026*""access"" + 0.025*""get"" + 0.023*""bank"" + 0.015*""close"" + 0.014*""horrible"""
13,0,"0.070*""app"" + 0.034*""balance"" + 0.030*""transaction"" + 0.023*""see"" + 0.023*""show"" + 0.021*""need"" + 0.020*""slow"" + 0.016*""often"""
13,1,"0.093*""phone"" + 0.085*""app"" + 0.044*""use"" + 0.031*""work"" + 0.025*""new"" + 0.023*""old"" + 0.018*""bank"" + 0.016*""year"""
13,2,"0.085*""work"" + 0.055*""app"" + 0.046*""log"" + 0.034*""time"" + 0.034*""password"" + 0.022*""always"" + 0.017*""never"" + 0.017*""try"""
13,3,"0.075*""bank"" + 0.045*""bad"" + 0.023*""get"" + 0.022*""money"" + 0.021*""ever"" + 0.018*""account"" + 0.015*""call"" + 0.014*""one"""
13,4,"0.097*""app"" + 0.039*""log"" + 0.036*""try"" + 0.024*""get"" + 0.022*""use"" + 0.021*""login"" + 0.021*""issue"" + 0.020*""load"""
13,5,"0.052*""app"" + 0.033*""great"" + 0.032*""suck"" + 0.028*""service"" + 0.022*""problem"" + 0.021*""work"" + 0.014*""ally"" + 0.013*""support"""
13,6,"0.137*""app"" + 0.064*""open"" + 0.016*""download"" + 0.015*""phone"" + 0.015*""work"" + 0.014*""get"" + 0.013*""bug"" + 0.013*""even"""
13,7,"0.059*""zelle"" + 0.041*""send"" + 0.032*""terrible"" + 0.031*""app"" + 0.028*""use"" + 0.027*""sign"" + 0.019*""money"" + 0.014*""code"""
13,8,"0.054*""payment"" + 0.038*""pay"" + 0.034*""use"" + 0.029*""easy"" + 0.022*""credit_card"" + 0.022*""make_payment"" + 0.021*""make"" + 0.020*""take"""
13,9,"0.160*""update"" + 0.092*""app"" + 0.025*""use"" + 0.018*""new"" + 0.016*""work"" + 0.015*""need"" + 0.012*""still"" + 0.011*""say"""
13,10,"0.056*""card"" + 0.025*""app"" + 0.021*""pay"" + 0.019*""bank"" + 0.019*""get"" + 0.017*""well"" + 0.017*""much"" + 0.014*""use"""
13,11,"0.127*""account"" + 0.039*""bank"" + 0.027*""deposit"" + 0.027*""check"" + 0.022*""access"" + 0.020*""get"" + 0.017*""close"" + 0.016*""horrible"""
13,12,"0.089*""good"" + 0.031*""get"" + 0.018*""credit"" + 0.017*""pay"" + 0.013*""way"" + 0.012*""far"" + 0.011*""charge"" + 0.011*""go"""
14,0,"0.070*""app"" + 0.027*""transaction"" + 0.025*""balance"" + 0.022*""need"" + 0.021*""like"" + 0.020*""well"" + 0.019*""show"" + 0.019*""see"""
14,1,"0.095*""app"" + 0.084*""phone"" + 0.041*""use"" + 0.036*""bank"" + 0.022*""old"" + 0.020*""year"" + 0.020*""new"" + 0.018*""work"""
14,2,"0.043*""app"" + 0.042*""password"" + 0.033*""log"" + 0.033*""work"" + 0.032*""time"" + 0.022*""biometric"" + 0.020*""sign"" + 0.019*""let"""
14,3,"0.061*""bank"" + 0.046*""bad"" + 0.029*""call"" + 0.025*""get"" + 0.022*""customer_service"" + 0.021*""ever"" + 0.016*""account"" + 0.016*""money"""
14,4,"0.089*""app"" + 0.063*""log"" + 0.035*""try"" + 0.025*""get"" + 0.025*""load"" + 0.022*""use"" + 0.019*""issue"" + 0.016*""screen"""
14,5,"0.069*""app"" + 0.034*""suck"" + 0.026*""issue"" + 0.025*""service"" + 0.023*""problem"" + 0.022*""great"" + 0.021*""login"" + 0.019*""always"""
