Model_Num_Topics,Topic_Index,Topic_Terms
10,1,"0.048*""get"" + 0.036*""pay"" + 0.031*""advance"" + 0.029*""money"" + 0.025*""charge"" + 0.022*""fee"" + 0.022*""need"" + 0.016*""subscription"""
10,2,"0.054*""app"" + 0.044*""money"" + 0.038*""take"" + 0.028*""get"" + 0.023*""use"" + 0.022*""payment"" + 0.019*""account"" + 0.016*""even"""
10,3,"0.034*""get"" + 0.022*""account"" + 0.020*""help"" + 0.020*""advance"" + 0.018*""work"" + 0.018*""time"" + 0.016*""app"" + 0.015*""use"""
10,4,"0.039*""get"" + 0.032*""advance"" + 0.029*""app"" + 0.025*""pay"" + 0.022*""account"" + 0.022*""card"" + 0.018*""use"" + 0.018*""customer_service"""
10,5,"0.051*""app"" + 0.020*""get"" + 0.019*""help"" + 0.016*""bad"" + 0.016*""subscription"" + 0.013*""one"" + 0.013*""use"" + 0.013*""issue"""
10,6,"0.087*""app"" + 0.020*""work"" + 0.018*""free"" + 0.018*""great"" + 0.017*""account"" + 0.017*""try"" + 0.017*""use"" + 0.016*""update"""
10,7,"0.069*""app"" + 0.030*""time"" + 0.028*""cash_advance"" + 0.027*""pay"" + 0.025*""get"" + 0.023*""scam"" + 0.023*""use"" + 0.022*""good"""
10,8,"0.052*""app"" + 0.038*""get"" + 0.019*""advance"" + 0.018*""say"" + 0.017*""use"" + 0.017*""never"" + 0.017*""work"" + 0.015*""like"""
10,9,"0.039*""account"" + 0.039*""app"" + 0.020*""budget"" + 0.019*""want"" + 0.018*""would"" + 0.017*""give"" + 0.015*""pay"" + 0.015*""connect"""
11,0,"0.049*""get"" + 0.037*""pay"" + 0.033*""say"" + 0.032*""advance"" + 0.018*""app"" + 0.017*""account"" + 0.014*""money"" + 0.014*""pay_back"""
11,1,"0.044*""get"" + 0.027*""money"" + 0.026*""pay"" + 0.025*""keep"" + 0.021*""advance"" + 0.020*""charge"" + 0.019*""try"" + 0.019*""fee"""
11,2,"0.047*""app"" + 0.030*""money"" + 0.025*""get"" + 0.020*""back"" + 0.018*""use"" + 0.018*""take"" + 0.018*""payment"" + 0.018*""try"""
11,3,"0.049*""get"" + 0.033*""advance"" + 0.026*""need"" + 0.025*""help"" + 0.024*""account"" + 0.021*""card"" + 0.019*""like"" + 0.016*""pay"""
11,4,"0.032*""app"" + 0.031*""advance"" + 0.029*""get"" + 0.024*""use"" + 0.024*""pay"" + 0.019*""take"" + 0.019*""money"" + 0.018*""account"""
11,5,"0.040*""app"" + 0.025*""subscription"" + 0.022*""get"" + 0.021*""one"" + 0.018*""pay"" + 0.017*""advance"" + 0.015*""help"" + 0.014*""transaction"""
11,6,"0.089*""app"" + 0.029*""work"" + 0.023*""great"" + 0.022*""update"" + 0.018*""use"" + 0.016*""monarch"" + 0.015*""try"" + 0.015*""account"""
11,7,"0.079*""app"" + 0.042*""use"" + 0.034*""scam"" + 0.033*""pay"" + 0.029*""get"" + 0.026*""good"" + 0.024*""cash_advance"" + 0.019*""give"""
11,8,"0.050*""app"" + 0.035*""get"" + 0.027*""charge"" + 0.020*""give"" + 0.020*""customer_service"" + 0.019*""never"" + 0.018*""advance"" + 0.018*""money"""
11,9,"0.041*""app"" + 0.033*""money"" + 0.026*""account"" + 0.024*""pay"" + 0.021*""want"" + 0.017*""would"" + 0.017*""give"" + 0.017*""help"""
11,10,"0.044*""app"" + 0.039*""get"" + 0.032*""account"" + 0.027*""time"" + 0.021*""pay"" + 0.018*""say"" + 0.016*""money"" + 0.014*""take"""
12,0,"0.048*""get"" + 0.040*""pay"" + 0.033*""advance"" + 0.031*""say"" + 0.024*""app"" + 0.020*""bill"" + 0.019*""account"" + 0.013*""payment"""
12,1,"0.041*""keep"" + 0.033*""get"" + 0.031*""try"" + 0.029*""money"" + 0.026*""let"" + 0.017*""subscription"" + 0.014*""account"" + 0.014*""would"""
