Review,Date,Stars
won't load,2025-05-17,1
always has issues,2025-05-17,1
incredibly buggy every time i sign in it signs me out. if i do mobile check deposit it signs me out. so frustrating,2025-05-16,1
India bargain barrel outsourced or offshored developers. Biometric de-enrolls after every logon. App crashes when you try to process a mobile deposit frequently. Is QA that hard? It really isn't.,2025-05-16,1
"Signs me out after signing in, never remembers the biometrics, or saves user id, Been like this for several years now",2025-05-16,1
"This app no longer works with OneUI 7. When trying to make a deposit, it doesn't open the camera. It only gives a black screen and then eventually says the app is not responding. When the deposit function used to work the app was still buggy. It would frequently give a ""service unavailable, try again later"" error.",2025-05-16,1
"Constantly crashes, used to be great. Worthless now.",2025-05-16,1
app not working. will not download,2025-05-16,1
basically broken. always have to log in twice.,2025-05-16,1
"I use this app frequently, there is some snag with the login process. Currently, it will let me log in, tell me my session is expired, and log me out. I can then log back in. Log out and go back in later - same problem. Very annoying. I have cleared cache, cleared cache and memory - no change. Uninstalled and reinstalled. No change. I know at least one other person having this issue. Sad, I am actually considering changing banks because this app performs so poorly and no one cares.",2025-05-16,1
this app is so buggy it should be featured in an Indiana Jones film.,2025-05-16,1
"I haven't got paid a day or two early at all with this bank, i have friends who bank with chime. etc that get paid Wednesdays.",2025-05-16,1
"The biometric login always glitches. When you sign in, it immediately signs you out and makes you log in again. Real buggy app",2025-05-16,1
app constantly logs you out,2025-05-15,1
The app is very very buggy. currently it gives a app not responding message every 20 seconds even though it's actually working. previously I've had issue with Zelle integration also,2025-05-15,1
"My local branch is the worst. They removed the walk-up ATM machine and recently stopped making replacement debit cards. I called to initiate a dispute on my checking account and the CSR was rude. It was a PITA when I switched banks to PNC. I would leave PNC, except I don't want to go through all that pain again!",2025-05-15,1
Garbage app. It's down all the time. My other bank (Woodforest) has zero issues and it's a smaller bank.,2025-05-15,1
"The application keeps losing biometric settings. It also logs me out right after logging in or says service is unavailable. But after one or more retries, I can usually log in. There are no issues logging in via a browser. I've tried troubleshooting by clearing the cache, clearing storage, restarting the app, restarting the phone, uninstalling and reinstalling the application, etc. Nothing helps.",2025-05-15,1
"Every time I deposit a check, the app shuts down, and I don't know if it was deposited or not. Then I log into the app and make the deposit again, and it tells me I'm depositing the same check. It is so annoying!",2025-05-15,1
Every time I login I'm immediately logged out. I have to login twice every time I need to use this app. Please fix it!!,2025-05-15,1
"constantly signs me out. forgets my biometric settings, refuses to recognize Google password manager, and is a wall garden to zelle usage for PNC customers app has my rethinking my banking choice",2025-05-15,1
mobile deposit always causes a forced exit. what's up?,2025-05-15,1
Not good.. this app used to be great but any more it never works!!! I constantly have to sign in twice before I can use the app. it keeps forgetting my finger print and won't allow me to save my id for quicker log in. I see others having the same problem.. some people feel they are being hacked and have uninstalled. what is going on? where is the support?,2025-05-15,1
hate it cant log in,2025-05-14,1
tired of biometrics randomly not working and having to come up with yet another freaking password.,2025-05-14,1
"Continually freezes. Does not read stamped endorsements well - even those issued by PNC. At times, it just shuts down. I recently received a pop-up while using the app. It froze in the middle of doing the evaluation. At the beginning of May, this App was not available because it was to be updated. It's worse. First, upon entering the login information, it wouldn't login. Second. every few minutes, it freezes making it necessary to close and log back in. - very frustrating",2025-05-14,1
"When are you gonna fix this stupid app? Every time I sign in, it immediately logs me out and makes me do it again. I've enabled biometrics every time I actually manage to log in but the next time I try it disables it. Half the time I log in, balances and account history aren't available. What's the function of this app supposed to be if nothing ever works?",2025-05-14,1
