Review,Date,Stars
"I've never had an app, so frustrating to set up and access my existing Kohls credit card. Finally, I was able to use it to make a purchase. and now, when I am trying to pay my bill, I get a message that I need to take further action. I can't print the statement or make the payment!",2025-05-19,1
your interest rates are to high.,2025-05-19,1
the day of me setting up my account didn't share any details of or about anything apparently there was suspicious activity on my account which caused my card to be restricted this tells me one of two things either there is some corruption coming from Capital One or the fraud department has a lot of bugs then trying to confirm my identity to unlock my account didn't work try to confirm it through photo of my ID it said there was a problem on their ends ridiculous,2025-05-19,1
"Crashes and doesn't load at all. Used to be great to keep track of everything, now it just crashes and won't start.",2025-05-19,1
shopping offers are a scam and won't work through Walmart app. I'm owed mega bucks.,2025-05-19,1
"I hate this bank with a passion. Everything is out dated & slow. If you're dealing with a budgeted income, you will be screwed. The transfers are the slowest ever taking almost 2 weeks. They hold your checks super long. They love to put your money hostage. I sent a check for rent and they waited to take the funds but let some unauthorized merchant charge and caused my check not to be sent. The money should've been taken first. I am very close to filing a report on this bank.",2025-05-19,1
lock and unlock card is confusing.,2025-05-19,1
"The new look is hard to see and navigate. I would love a way to have the old larger icons back and go back to using a pattern to log in, and not just bio metrics or username and password.",2025-05-19,1
"The app was great, but recently it won't let me sign in, so it's useless. It just keeps spinning and nothing happens. hope this is fixed soon.",2025-05-18,1
"Capital One is awful, and Capitol one does not value its customers",2025-05-18,1
won't accept either of 2 valid phone numbers,2025-05-18,1
"very confusing, I have never paid a bill on line before ,so I hope you understand if I boo boo",2025-05-18,1
"Im glad i can use capital one but the App sucks! The UI is not optimized and i can't find half the things im looking for. Eno is not really any help either and sometimes the app is buggy i have to reset it. Super inconvenient. It keeps telling me that i dont have any eligible numbers for 2fa for some reason and its so frustrating. I hope more effort and care is put into the app soon, as a previous Chase client its pretty dissapointing that Capital one app cant compare.",2025-05-18,1
"Tried to activate my new card and couldn't find where to do it, even after scanning the QR code to do just that!",2025-05-18,1
"User friendliness is below levels of competitors. There's no representative chat and the ai chat is abysmal. The terms of rewards are listed on the benefits page but they are misrepresented and there is no section for disputes, reviews, or complaints. Their only good feature is being able to lock your card from the app, other than that they're behind the game of credit card companies and apps.",2025-05-18,1
it's never working,2025-05-18,1
absolutely sick of having to change my password when biometrics fail and have to redo finger prints. enough to make me not want anything to do with digital banking. I work in construction so biometrics failing often.,2025-05-18,1
atm ate my money and didn't give e receipt,2025-05-18,1
horrible customer service,2025-05-18,1
keeps crashing after new update,2025-05-18,1
for some reason it's not supported on my device guess app is only for rich people who get new phones every year guess I'll have to wait till I can upgrade a perfectly good working phone for a new one,2025-05-18,1
it stop working it will not let me log in. app just buffers,2025-05-18,1
"Even, when you pay your card off in full on every payment due date, your credit is not available for 8 days! TERRIBLE, TERRIBLE CREDIT CARD!!! DO NOT APPLY FOR!!!",2025-05-18,1
At some point it became completely unable to log me in. It'll just sit on the loading button after entering my password and do nothing. Day 10 and it still isn't fixed it's gonna get real ugly when I can't pay my bill.,2025-05-17,1
"The app won't let me sign in, get my username and password, or create a new account. It asks for my last name, birthdate, and SSN. Then it tells me I'm wrong.",2025-05-17,1
when I make payments it takes forever to post.,2025-05-17,1
First time using Capital One credit card was declined. Do recommend Capital One as financial institution.,2025-05-17,1
having issues with my business checking account since update.,2025-05-17,1
they keep wanting you to open up your phone and your stuff to more scanning and more invasion into your privacy,2025-05-17,1
"When I make a payment I expect it to come out immediately, not 2 or 3 days later!!!",2025-05-17,1
It asked for a code sent to my phone.So when I click on to messages to get the code so I switch back to the capital.One app.I have to start all over again,2025-05-17,1
I havent been able to log into the app in over a week,2025-05-17,1
"Update: Even after talking to customer service, etc., the app still does not work properly. Every time I try to make a payment, it gives me an error on the credit card side. Just fix it already! Whatever is going on with the app, I can make my car loan payment, but it won't accept my credit card payment. This has been going on for at lady 2 billing cycles. Updates have come out and the problem still persists. Please fix it",2025-05-17,1
The biometric does not work ever on this app!! Having to type in my password each time I login is beyond frustrating.,2025-05-17,1
capital one is terrible and so is the app,2025-05-17,1
how can i review something if i havent used it yet,2025-05-17,1
doesn't recognize me as a customer can't log in,2025-05-17,1
can't do much. tried to update my number and the app crashes.,2025-05-17,1
"my credit card has been removed from my credit score. I have had this card 24 years with zero things wrong with it. I am still using it, so why has it been removed from my credit score? my credit score was $820. I lost 32 points when my card was removed from my credit score. not at all happy!",2025-05-17,1
sucked,2025-05-17,1
required a bunch of info in update just to sign in,2025-05-17,1
Why are all of my accounts now minimized? Why bother having a feature to fully display if it no longer works??,2025-05-17,1
complicated to,2025-05-17,1
Trash.,2025-05-17,1
"my wife is overseas, the card gets blocked and there is no one to resolve the situation, I called the fraud department and Josh said we have to wait 10 business days for some kind of fraud review. As a result my wife is in a foreign country without a working capital one venture visa credit card there without the ability to pay for a hotel. she's trying to get back 5 days earlier thanks to the capital scheme venture card.",2025-05-16,1
Won't recognize my phone number to send me security codes. I cannot access my virtual credit card because both authentication methods are giving me error messages.,2025-05-16,1
my payments are slow to post and the app is difficult to navigate,2025-05-16,1
1 star because I can't choose 0,2025-05-16,1
"App won't allow for login - have uninstalled and reinstalled multiple times, per CSR advisement. 5 calls, 2 tech support tickets - no resolution. Multiple people having the same issue.",2025-05-16,1
"App no longer works, it won't login, just buffers endlessly.",2025-05-16,1
as an dividend non enough Corp I believe y'all cannot costs on equity wages people didn't pay y'all back 🤣,2025-05-16,1
"capital one has become garbage!! have never missed my payment with them, missed my payment by one day, called the next to apologies and see if they'd reverse the late fee, Customer Service rep was extremely rude and unhelpful!!",2025-05-16,1
I can't get a hold of anyone to reset my pin. and calling they hang up because I don't have my information.,2025-05-16,1
